iter	Passed	Remaining
495	737	749
496	738	747
497	738	744
498	739	742
499	739	739
500	740	737
501	740	734
502	741	732
503	741	730
504	742	727
505	743	725
506	745	724
507	746	722
508	746	720
509	747	717
510	747	715
511	748	713
512	748	710
513	749	708
514	750	706
515	750	704
516	751	702
517	751	699
518	752	697
519	753	695
520	753	692
521	754	690
522	754	688
523	755	686
524	755	683
525	756	681
526	757	679
527	760	679
528	760	677
529	761	675
530	762	673
531	763	671
532	763	669
533	764	666
534	764	664
535	765	662
536	765	660
537	789	677
538	789	675
539	790	673
540	792	672
541	793	670
542	793	668
543	795	666
544	795	664
545	796	662
546	796	659
547	797	657
548	800	657
549	800	655
550	817	666
551	820	666
552	823	665
553	826	665
554	828	664
555	829	662
556	829	660
557	830	657
558	830	655
559	831	653
560	832	651
561	832	649
562	833	646
563	833	644
564	837	644
565	837	642
566	838	640
567	839	638
568	840	636
569	841	634
570	841	632
571	842	630
572	842	628
573	843	625
574	843	623
575	844	621
576	844	619
577	845	617
578	845	615
579	846	613
580	847	610
581	847	608
582	848	606
583	848	604
584	849	602
585	850	600
586	855	602
587	856	600
588	857	598
589	857	595
590	858	593
591	858	591
592	859	589
593	859	587
594	860	585
595	860	583
596	861	581
597	861	579
598	862	577
599	862	575
600	863	573
601	874	578
602	875	576
603	875	574
604	876	572
605	876	570
606	877	568
607	878	566
608	878	564
609	879	562
610	879	559
611	880	557
612	883	557
613	884	555
614	884	553
615	890	554
616	890	552
617	891	550
618	891	548
619	892	546
620	892	544
621	893	542
622	893	540
623	894	538
624	895	537
625	895	535
626	896	533
627	897	531
628	898	529
629	898	527
630	899	526
631	900	524
632	900	522
633	901	520
634	901	518
635	902	516
636	902	514
637	903	512
638	903	510
639	904	508
640	904	506
641	905	504
642	905	503
643	906	501
644	907	499
645	907	497
646	908	495
647	908	493
648	909	491
649	909	489
650	911	488
651	914	487
652	914	486
653	915	484
654	915	482
655	917	481
656	918	479
657	919	477
658	919	475
659	920	474
660	921	472
661	925	472
662	926	470
663	926	468
664	932	469
665	933	468
666	934	466
667	935	464
668	935	463
669	936	461
670	936	459
671	938	457
672	938	456
673	944	456
674	951	458
675	952	456
676	952	454
677	953	452
678	953	450
679	954	449
680	957	448
681	958	447
682	959	445
683	960	443
684	961	442
685	962	440
686	962	438
687	963	436
688	965	435
689	966	434
690	967	432
691	971	432
692	972	430
693	973	429
694	974	427
695	976	426
696	977	425
697	978	423
698	980	422
699	981	420
700	982	419
701	983	417
702	986	416
703	987	415
704	989	414
705	991	412
706	992	411
707	993	409
708	993	407
709	994	406
710	994	404
711	995	402
712	1001	403
713	1002	401
714	1003	399
715	1003	398
716	1004	396
717	1004	394
718	1005	392
719	1005	391
720	1006	389
721	1007	387
722	1008	386
723	1009	384
724	1011	383
725	1012	382
726	1017	382
727	1018	380
728	1018	378
729	1019	377
730	1019	375
731	1023	374
732	1030	375
733	1031	373
734	1033	372
735	1034	371
736	1035	369
737	1035	367
738	1037	366
739	1037	364
740	1041	364
741	1042	362
742	1045	361
743	1047	360
744	1048	358
745	1049	357
746	1049	355
747	1050	353
748	1051	352
749	1051	350
750	1052	348
751	1052	347
752	1053	345
753	1053	343
754	1054	342
755	1054	340
756	1055	338
757	1055	337
758	1056	335
759	1056	333
760	1063	334
761	1064	332
762	1064	330
763	1065	329
764	1065	327
765	1066	325
766	1067	324
767	1067	322
768	1071	321
769	1071	320
770	1072	318
771	1073	316
772	1073	315
773	1074	313
774	1075	312
775	1078	311
776	1085	311
777	1086	310
778	1087	308
779	1099	310
780	1100	308
781	1100	306
782	1101	305
783	1102	303
784	1102	302
785	1104	300
786	1105	299
787	1112	299
788	1112	297
789	1113	296
790	1114	294
791	1114	292
792	1115	291
793	1115	289
794	1116	287
795	1116	286
796	1117	284
797	1121	283
798	1121	282
799	1122	280
800	1128	280
801	1128	278
802	1129	277
803	1129	275
804	1130	273
805	1131	272
806	1134	271
807	1135	269
808	1138	268
809	1139	267
810	1144	266
811	1145	265
812	1146	263
813	1147	262
814	1147	260
815	1148	258
816	1148	257
817	1149	255
818	1153	254
819	1158	254
820	1158	252
821	1159	251
822	1159	249
823	1160	247
824	1160	246
825	1161	244
826	1162	243
827	1163	241
828	1164	240
829	1167	239
830	1171	238
831	1172	236
832	1172	235
833	1173	233
834	1173	231
835	1174	230
836	1174	228
837	1176	227
838	1177	225
839	1178	224
840	1181	223
841	1182	221
842	1184	220
843	1184	218
844	1185	217
845	1185	215
846	1186	214
847	1186	212
848	1187	211
849	1187	209
850	1188	208
851	1188	206
852	1189	204
853	1190	203
854	1190	201
855	1191	200
856	1191	198
857	1192	197
858	1192	195
859	1194	194
860	1199	193
861	1201	192
862	1202	190
863	1202	189
864	1203	187
865	1203	186
866	1204	184
867	1204	183
868	1205	181
869	1205	180
870	1209	179
871	1210	177
872	1211	176
873	1211	174
874	1213	173
875	1214	171
876	1214	170
877	1215	168
878	1215	167
879	1216	165
880	1216	164
881	1217	162
882	1217	161
883	1218	159
884	1218	158
885	1239	159
886	1257	160
887	1259	158
888	1260	157
889	1261	155
890	1261	154
891	1262	152
892	1262	151
893	1263	149
894	1263	148
895	1264	146
896	1264	145
897	1265	143
898	1266	142
899	1266	140
900	1267	139
901	1267	137
902	1270	136
903	1276	135
904	1277	134
905	1278	132
906	1279	131
907	1280	129
908	1286	128
909	1286	127
910	1288	125
911	1293	124
912	1294	123
913	1295	121
914	1296	120
915	1297	118
916	1298	117
917	1299	116
918	1300	114
919	1302	113
920	1302	111
921	1303	110
922	1305	108
923	1306	107
924	1308	106
925	1311	104
926	1312	103
927	1313	101
928	1314	100
929	1315	98
930	1317	97
931	1318	96
932	1318	94
933	1320	93
934	1321	91
935	1322	90
936	1323	89
937	1324	87
938	1325	86
939	1326	84
940	1327	83
941	1328	81
942	1329	80
943	1330	78
944	1331	77
945	1334	76
946	1335	74
947	1336	73
948	1336	71
949	1337	70
950	1337	68
951	1338	67
952	1339	66
953	1339	64
954	1340	63
955	1342	61
956	1342	60
957	1343	58
958	1349	57
959	1359	56
960	1362	55
961	1363	53
962	1364	52
963	1369	51
964	1372	49
965	1372	48
966	1373	46
967	1373	45
968	1374	43
969	1374	42
970	1375	41
971	1376	39
972	1376	38
973	1377	36
974	1377	35
975	1378	33
976	1383	32
977	1383	31
978	1384	29
979	1385	28
980	1385	26
981	1386	25
982	1386	23
983	1387	22
984	1387	21
985	1388	19
986	1388	18
987	1389	16
988	1389	15
989	1390	14
990	1392	12
991	1393	11
992	1394	9
993	1397	8
994	1397	7
995	1398	5
996	1398	4
997	1399	2
998	1399	1
999	1400	0
